Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
1,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813577,""
1,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813578,""
1,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813579,""
1,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813580,""
1,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813672,""
1,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813673,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813680,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813681,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813688,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813689,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813723,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813724,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813727,""
1,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813729,""
1,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813792,""
1,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813793,""
1,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813794,""
