,Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
37,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028797,
38,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028798,
39,6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028799,
40,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028819,
41,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028820,
42,6,2700.635,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028881,
43,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028882,
44,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028883,
45,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028884,
46,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028885,
47,6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028887,
48,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028895,
49,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028896,
50,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028916,
51,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028917,
52,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028918,
53,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028919,
54,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028959,
55,6,2755.75,1,310726,1022514657,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028960,
56,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028962,
57,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028963,
58,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028966,
59,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029016,
60,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029017,
61,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029018,
62,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029019,
63,6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029020,
64,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029028,
65,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029029,
66,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029030,
67,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029061,
68,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029062,
69,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029063,
70,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029093,
71,6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029094,
72,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029132,
73,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029133,
74,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029134,
75,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029138,
76,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029139,
77,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029145,
78,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029146,
79,6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029147,
80,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029192,
81,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029193,
82,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029194,
83,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029195,
84,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029212,
85,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029213,
86,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029252,
87,6,2755.75,1,310726,1022514661,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029253,
88,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029254,
89,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029255,
90,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029256,
91,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029257,
92,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029268,
93,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029269,
94,6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029270,
95,6,551.15,0,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029272,
96,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025934,
97,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025936,
98,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025937,
99,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025938,
100,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025963,
101,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025964,
102,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025965,
103,7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025966,
104,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026012,
105,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026026,
106,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026030,
107,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026031,
108,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026037,
109,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026044,
110,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026071,
111,7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026072,
112,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026094,
113,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026096,
114,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026097,
115,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026098,
116,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026152,
117,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026153,
118,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026154,
119,7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026155,
120,7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026211,
121,7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026230,
122,7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026231,
123,7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026242,
124,7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026258,
125,7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026268,
126,7,1763.68,1,310002,1002514504,102,WA001,9999A,WA001,301026289,
127,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026322,
128,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026323,
129,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026324,
130,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026325,
131,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026402,
132,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026404,
133,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026405,
134,7,2755.75,1,310015,1002514501,101,WA001,9999A-9999E,WA001,301026406,
135,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026431,
136,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026452,
137,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026453,
138,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026473,
139,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026482,
140,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026547,
141,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026549,
142,7,2755.75,1,310015,1002514502,101,WA001,9999A-9999E,WA001,301026551,
143,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026552,
144,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026554,
145,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026571,
146,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026573,
147,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026592,
148,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026593,
149,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026595,
150,7,2755.75,1,310015,1002514503,101,WA001,9999A-9999E,WA001,301026596,
151,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026632,
152,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026638,
153,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026639,
154,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026641,
155,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026642,
156,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026644,
157,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026695,
158,7,2755.75,1,310015,1002514504,101,WA001,9999A-9999E,WA001,301026696,
159,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026711,
160,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026712,
161,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026713,
162,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026714,
163,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026715,
164,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026716,
