Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
2,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813577,""
2,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813578,""
2,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813579,""
2,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813580,""
2,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813672,""
2,2755.75,1,310726,1022435653,101,WA003,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813673,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813680,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813681,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813688,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813689,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813723,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813724,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813727,""
2,2755.75,1,310726,1022435654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813729,""
2,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813792,""
2,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813793,""
2,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813794,""
2,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813795,""
2,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813796,""
2,2755.75,1,310726,1022435655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,WA011,300813818,""
6,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797808,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032396,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032398,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032399,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032400,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032404,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032405,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032406,""
7,2755.75,1,310726,1022514951,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301032407,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032453,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032454,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032455,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032506,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032507,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032565,""
7,2755.75,1,310726,1022514952,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032566,""
7,2755.75,1,310726,1022514953,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301032793,""
