,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
26,WA003,,,Order,101,120,310726,232128-1-13-147,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
27,WA003,,,Order,101,120,310726,232128-1-13-148,220460,80.0,2025-07-28 00:00:00,WA007,3007DRYGUM
28,WA003,,,Order,101,120,310726,232128-1-13-149,110230,40.0,2025-07-28 00:00:00,WA007,3007DRYGUM
29,WA003,,,Order,101,120,310726,232128-1-7-126,55,0.0199582690737548,2025-06-12 00:00:00,WA007,3007DRYGUM
30,WA003,,,Order,101,120,310726,232128-1-7-126,55115,20.0,2025-06-12 00:00:00,WA007,3007DRYGUM
31,WA003,,,Order,101,120,310726,232128-1-7-126,110175,39.980041730926246,2025-06-12 00:00:00,WA007,3007DRYGUM
32,WA003,,,Order,101,120,310726,232128-1-7-126,110230,40.0,2025-06-12 00:00:00,WA007,3007DRYGUM
33,WA003,,,Order,101,120,310726,232128-1-7-127,55115,20.0,2025-06-12 00:00:00,WA007,3007DRYGUM
34,WA003,,,Order,101,120,310726,232128-1-7-127,220460,80.0,2025-06-12 00:00:00,WA007,3007DRYGUM
35,WA003,,,Order,101,120,310726,232128-1-7-128,1984,0.7199491971332668,2025-06-12 00:00:00,WA007,3007DRYGUM
36,WA003,,,Order,101,120,310726,232128-1-7-128,110175,39.980041730926246,2025-06-12 00:00:00,WA007,3007DRYGUM
37,WA003,,,Order,101,120,310726,232128-1-7-128,163416,59.30000907194049,2025-06-12 00:00:00,WA007,3007DRYGUM
38,WA003,,,Order,101,120,310726,232128-1-7-129,55115,20.0,2025-06-25 00:00:00,WA007,3007DRYGUM
39,WA003,,,Order,101,120,310726,232128-1-7-129,55115,20.0,2025-06-25 00:00:00,WA007,3007DRYGUM
40,WA003,,,Order,101,120,310726,232128-1-7-129,165345,60.0,2025-06-25 00:00:00,WA007,3007DRYGUM
41,WA003,,,Order,101,120,310726,232128-1-7-130,55115,20.0,2025-06-25 00:00:00,WA007,3007DRYGUM
42,WA003,,,Order,101,120,310726,232128-1-7-130,110230,40.0,2025-06-25 00:00:00,WA007,3007DRYGUM
43,WA003,,,Order,101,120,310726,232128-1-7-130,55115,20.0,2025-06-25 00:00:00,WA007,3007DRYGUM
44,WA003,,,Order,101,120,310726,232128-1-7-130,55115,20.0,2025-06-25 00:00:00,WA007,3007DRYGUM
45,WA003,,,Order,101,120,310726,232128-1-7-131,110230,40.0,2025-06-25 00:00:00,WA007,3007DRYGUM
46,WA003,,,Order,101,120,310726,232128-1-7-131,110230,40.0,2025-06-25 00:00:00,WA007,3007DRYGUM
47,WA003,,,Order,101,120,310726,232128-1-8-132,275575,100.0,2025-07-15 00:00:00,WA007,3007DRYGUM
48,WA003,,,Order,101,120,310726,232128-1-8-133,55,0.0199582690737548,2025-07-15 00:00:00,WA007,3007DRYGUM
49,WA003,,,Order,101,120,310726,232128-1-8-133,220405,79.98004173092625,2025-07-15 00:00:00,WA007,3007DRYGUM
50,WA003,,,Order,101,120,310726,232128-1-8-134,55115,20.0,2025-07-15 00:00:00,WA007,3007DRYGUM
51,WA003,,,Order,101,120,310726,232128-1-8-134,110230,40.0,2025-07-15 00:00:00,WA007,3007DRYGUM
52,WA003,,,Order,101,120,310726,232128-1-8-134,55115,20.0,2025-07-15 00:00:00,WA007,3007DRYGUM
