Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
WA003,WA002,,Order,101,,310726,233205-1-1-101,,20,5/28/2025,WA007,9999E
ID002,WA001,,Order,102,,310015,232630-1-1-105,,21.00009072,5/28/2025,TX001,9999E
WA002,,,Order,102,,310724,233238-1-1-104,,120,5/28/2025,WA007,9999E
WA003,WA002,,Order,101,,310726,233296-1-1-102,,80,5/28/2025,WA007,9999E
WA002,WA003,,Order,101,,310724,233199-1-1-101,,60,5/28/2025,WA007,9999E
WA002,WA003,,Order,101,,310724,233199-1-1-102,,60,5/28/2025,WA007,9999E
WA002,,,Order,101,,310726,233064-1-1-102,,60,5/28/2025,WA007,9999E
WA002,,,Order,101,,310726,233183-1-1-101,,40,5/28/2025,WA007,9999E
WA002,,,Order,101,,310726,233064-1-1-101,,60,5/28/2025,WA007,9999E
WA003,WA002,,Order,101,,310726,233394-1-1-101,,140,5/28/2025,WA007,9999E
WA003,,,Order,101,,310726,233198-1-1-109,,40,5/28/2025,WA007,9999E
WA002,,,Order,101,,310726,233064-1-1-103,,80,5/28/2025,WA007,9999E
ID002,WA001,,Order,102,,310015,232630-1-1-104,,21.00009072,5/28/2025,TX001,9999E
WA002,WA003,,Order,102,,310726,233282-1-1-101,,20,5/28/2025,WA007,9999E
ID002,,,Order,102,,310015,233504-1-1-103,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-105,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-106,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-107,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-108,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-109,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-104,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-102,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-101,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,232701-1-6-123,,14.99990928,5/28/2025,ID010,9999A
ID002,,,Order,102,,310015,232701-1-6-124,,14.99990928,5/28/2025,ID010,9999A
ID002,WA001,,Order,102,,310015,233423-1-1-108,,20.99972784,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233423-1-1-107,,21.00009072,5/29/2025,TX001,9999A
WA003,,,Order,101,,310726,232130-1-7-119,,40,5/29/2025,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232128-1-6-122,,80,5/29/2025,WA007,3007DRYGUM
ID002,WA001,,Order,102,,310015,232630-1-2-106,,21.00009072,5/29/2025,TX001,9999E
ID002,WA001,,Order,102,,310015,232630-1-2-107,,21.00009072,5/29/2025,TX001,9999E
ID002,WA001,,Order,102,,310015,233491-1-1-105,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-104,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-103,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233491-1-1-103,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233491-1-1-104,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-101,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-102,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233491-1-1-102,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-101,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-105,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-106,,21.00009072,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-107,,20.99972784,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-108,,20.99972784,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-108,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-109,,20.99972784,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-110,,20.99972784,5/29/2025,TX001,9999A
