Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
8,2755.75,1,310724,1012512408,101,WA002,3040A-3045A-3053A-9999A,WA002,300998436
8,2755.75,1,310724,1012512408,101,WA002,3040A-3045A-3053A-9999A,WA002,300998437
8,2755.75,1,310724,1012512408,101,WA002,3040A-3045A-3053A-9999A,WA002,300998438
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998457
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998458
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998459
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998516
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998517
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998518
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998521
8,2755.75,1,310724,1012512409,101,WA002,3040A-3045A-3053A-9999A,WA002,300998522
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998523
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998555
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998556
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998557
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998563
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998565
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998566
8,2755.75,1,310724,1012512410,101,WA002,3040A-3045A-3053A-9999A,WA002,300998582
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998855
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998856
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998857
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998858
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998859
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998860
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998861
8,2755.75,1,310724,1012512412,101,WA002,3040A-3045A-3053A-9999A,WA002,300998862
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998866
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998867
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998868
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998869
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998870
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998871
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998872
8,2755.75,1,310724,1012512413,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998873
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998963
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998964
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998965
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998966
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998967
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998968
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998969
8,2755.75,1,310724,1012512414,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998970
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998982
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998983
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998984
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998985
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998986
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998987
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998988
8,2755.75,1,310724,1012512415,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998989
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998995
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998996
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998998
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300998999
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300999000
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300999001
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300999002
8,2755.75,1,310724,1012512416,101,WA002,3040A-3045A-3053A-9999A-9999E,WA002,300999003
8,2755.75,1,310724,1012512417,101,WA002,3040A-3043A-3045A-3053A-3055A-3055A-9999A-9999E,WA002,300999010
