Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,,,Order,101,,310768,232513-1-3-112,,20,2025-05-19 00:00:00,ID002,3200A
WA001,,,Order,102,,310015,233016-1-3-105,,14.99990928,2025-05-19 00:00:00,WA001,9999E
WA001,,,Order,102,,310015,233156-1-2-106,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-112,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-120,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-121,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233320-1-1-128,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233320-1-1-129,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233320-1-1-130,,14.99990928,2025-05-19 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233439-1-1-103,,14.99990928,2025-05-19 00:00:00,WA001,9999A
ID002,,,Order,102,,310015,233440-1-1-114,,14.99990928,2025-05-19 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233440-1-1-118,,14.99990928,2025-05-19 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,10016032,,0.019958269,2025-05-20 00:00:00,MEX002,9999A
WA001,,,Order,102,,310002,232380-1-3-103,,20,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310774,232483-1-3-109,,19,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-122,,14.99990928,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-123,,14.99990928,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-124,,14.99990928,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-125,,14.99990928,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-126,,14.99990928,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,101,,310002,233354-1-1-102,,160,2025-05-20 00:00:00,WA001,9999A
ID002,,,Order,101,,310015,233367-1-1-106,,14.99990928,2025-05-20 00:00:00,ID002,3123A
ID002,,,Order,101,,310015,233367-1-1-107,,14.99990928,2025-05-20 00:00:00,ID002,3123A
ID002,,,Order,101,,310015,233367-1-1-108,,14.99990928,2025-05-20 00:00:00,ID002,3123A
WA001,,,Order,102,,310015,233439-1-1-104,,14.99990928,2025-05-20 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233439-1-1-105,,14.99990928,2025-05-20 00:00:00,WA001,9999A
ID002,,,Order,102,,310015,233440-1-1-120,,14.99990928,2025-05-20 00:00:00,ID002,9999A
WA001,,,Order,102,,310015,231741-1-4-107,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310002,232152-1-5-106,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,232743-1-5-110,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310002,232910-1-1-102,,1.000090719,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233288-1-2-127,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233311-1-1-101,,18.00018144,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233311-1-1-102,,18.00018144,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233311-1-1-103,,18.00018144,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233311-1-1-104,,18.00018144,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-101,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-102,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-103,,14.99990928,2025-05-21 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-104,,14.99990928,2025-05-21 00:00:00,WA001,9999A
