WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,Sum of AGE,LOT_NO,SUBLOT_NO,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512212,300996197,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512212,300996198,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512212,300996199,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512212,300996200,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996513,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996514,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996529,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996530,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996540,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996541,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996544,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,9,1052512218,300996545,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996595,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996596,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996597,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996598,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996601,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996609,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996642,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512301,300996643,1,"",
ID002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,8,1052512303,300996736,1,"",
