ORDER_NUMBER,Inventory History for Allocation.WHSE_CODE,ITEM,Inventory History for Allocation.PRODUCTION_PLANT,Inventory History for Allocation.QC_GRADE,Inventory History for Allocation.SPEC,Average of Inventory History for Allocation.AGE,SHIPPED_DATE
232381-1-2-102,WA010,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO,91.00,2025-05-05 00:00:00
232381-1-2-102,WA010,310726,WA003,101,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,91.00,2025-05-05 00:00:00
232381-1-2-102,WA010,310726,WA003,101,3025S-3033A-9999A-9999C-9999CS,91.00,2025-05-05 00:00:00
232807-1-2-132,MEX002,310015,ID002,101,3117A-3123A-9999A,109.50,2025-05-02 00:00:00
233226-1-1-101,WA007,310726,WA003,101,3002A-3025S-3033A-9999A-9999E,69.00,2025-05-01 00:00:00
233226-1-1-101,WA007,310726,WA003,101,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,63.00,2025-05-01 00:00:00
233226-1-1-101,WA007,310726,WA003,101,3025S-3033A-9999A-9999C-9999CS-9999E,63.00,2025-05-01 00:00:00
233226-1-1-101,WA007,310726,WA003,101,3025S-3033A-9999A-9999E,63.00,2025-05-01 00:00:00
233369-1-1-101,MEX002,310015,ID002,101,3117A-3117A-9999A-9999A,120.00,2025-04-30 00:00:00
233369-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A,115.00,2025-04-30 00:00:00
233369-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,115.50,2025-04-30 00:00:00
10015173,TX001,310015,ID002,101,3117A-3123A-9999A-9999E,54.00,2025-04-29 00:00:00
232807-1-1-127,MEX002,310015,ID002,101,3117A-3123A-9999A,103.00,2025-04-29 00:00:00
232807-1-1-128,MEX002,310015,ID002,101,3117A-3123A-9999A,105.80,2025-04-29 00:00:00
232807-1-2-129,MEX002,310015,ID002,101,3117A-3123A-9999A,115.00,2025-04-29 00:00:00
232807-1-2-129,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,114.00,2025-04-29 00:00:00
233030-1-1-101,WA007,310724,WA002,101,3040A-3043A-3045A-3053A-3055A-9999A-9999E,72.50,2025-04-29 00:00:00
233368-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A,106.50,2025-04-29 00:00:00
233368-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,120.00,2025-04-29 00:00:00
233384-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A,115.00,2025-04-29 00:00:00
233384-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,114.00,2025-04-29 00:00:00
232807-1-1-125,MEX002,310015,ID002,101,3117A-3123A-9999A,105.00,2025-04-28 00:00:00
232970-1-3-103,WA007,310726,WA002,101,9999A-9999C,117.00,2025-04-28 00:00:00
233188-1-1-101,WA007,310726,WA003,101,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,63.00,2025-04-28 00:00:00
233198-1-1-103,WA007,310726,WA003,101,3002A-3025S-3033A-9999A-9999E,69.00,2025-04-28 00:00:00
233198-1-1-103,WA007,310726,WA003,101,3025S-3033A-9999A-9999C-9999CS-9999E,63.00,2025-04-28 00:00:00
233198-1-1-103,WA007,310726,WA003,101,3025S-3033A-9999A-9999E,63.00,2025-04-28 00:00:00
232946-1-2-103,WA007,310724,WA002,101,3040A-3043A-3045A-3053A-3055A-9999A-9999C-9999E,49.00,2025-04-25 00:00:00
232946-1-2-103,WA007,310724,WA002,101,3040A-3043A-3045A-3053A-3055A-9999A-9999E,51.00,2025-04-25 00:00:00
233064-1-1-101,WA007,310726,WA002,101,9999A-9999E,106.00,2025-04-25 00:00:00
232807-1-1-121,MEX002,310015,ID002,101,3117A-3123A-9999A,103.00,2025-04-24 00:00:00
233064-1-1-101,WA007,310726,WA002,101,3035A-9999A-9999E,106.00,2025-04-23 00:00:00
233077-1-1-101,WA007,310726,WA003,101,3025S-3033A-9999A-9999C-9999CS-9999E,77.00,2025-04-22 00:00:00
233169-1-1-101,WA007,310726,WA003,101,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,59.00,2025-04-22 00:00:00
232800-1-3-109,WA007,310726,WA003,101,3025S-3033A-3035A-9999A-9999C-9999CS-9999E,67.00,2025-04-21 00:00:00
232807-1-1-120,MEX002,310015,ID002,101,3117A-3123A-9999A,103.00,2025-04-21 00:00:00
232946-1-2-104,WA007,310724,WA002,101,3040A-3043A-3045A-3053A-3055A-9999A-9999E,55.00,2025-04-17 00:00:00
232807-1-1-117,MEX002,310015,ID002,101,3117A-3123A-9999A,103.00,2025-04-16 00:00:00
232807-1-1-118,MEX002,310015,ID002,101,3117A-3123A-9999A,103.00,2025-04-16 00:00:00
232946-1-2-104,WA007,310724,WA002,101,3040A-3043A-3045A-3053A-3055A-9999A-9999C-9999E,57.00,2025-04-16 00:00:00
232807-1-1-113,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,114.00,2025-04-14 00:00:00
233115-1-1-102,WA007,310726,WA003,101,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,71.00,2025-04-14 00:00:00
233115-1-1-102,WA007,310726,WA003,101,3007S-3025S-3033A-3035A-9999A-9999E,70.00,2025-04-14 00:00:00
233255-1-1-105,MEX002,310015,ID002,101,3117A-3123A-9999A,119.50,2025-04-14 00:00:00
233255-1-1-106,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,114.00,2025-04-14 00:00:00
233255-1-1-102,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A,119.50,2025-04-10 00:00:00
233256-1-1-104,MEX002,310015,ID002,101,3117A-3123A-9999A,114.00,2025-04-10 00:00:00
233256-1-1-101,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,113.00,2025-04-09 00:00:00
232807-1-1-110,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,110.00,2025-04-08 00:00:00
233187-1-1-107,MEX002,310015,ID002,101,3117A-3123A-9999A,113.00,2025-04-08 00:00:00
232807-1-1-107,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,119.50,2025-04-07 00:00:00
232807-1-1-106,MEX002,310015,ID002,101,3117A-3123A-9999A,113.00,2025-04-04 00:00:00
233187-1-1-104,MEX002,310015,ID002,101,3117A-3117A-9999A-9999A,120.00,2025-04-04 00:00:00
233187-1-1-104,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A,119.50,2025-04-04 00:00:00
233187-1-1-105,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A,119.50,2025-04-04 00:00:00
233187-1-1-105,MEX002,310015,ID002,101,3117A-3123A-9999A,119.50,2025-04-04 00:00:00
233187-1-1-105,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,119.50,2025-04-04 00:00:00
232876-1-1-102,WA011,310724,WA002,101,3040A-3043A-3045A-3053A-3055A-9999A-9999E,24.50,2025-03-25 00:00:00
232876-1-1-102,WA011,310724,WA002,101,3040A-3045A-3053A-3055A-9999A-9999E,24.50,2025-03-25 00:00:00
EDI131241,ID012,310015,WA001,101,9999A-9999E,119.50,2025-02-25 00:00:00
EDI131460,ID012,310015,WA001,101,9999A-9999E,119.50,2025-02-25 00:00:00
MIT109042,ID012,310015,WA001,101,9999A-9999E,119.50,2025-02-19 00:00:00
232128-1-3-110,WA011,310726,WA003,101,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,19.50,2025-01-28 00:00:00
232128-1-3-110,WA011,310726,WA003,101,3005WGUM-3007DRYGUM-3007S-3025S-3033A-3035A-9999A-9999E,19.50,2025-01-28 00:00:00
231844-1-2-1180570,WA011,310726,WA002,101,3015A-3035A-9999A-9999C-9999E,5.91,2025-01-08 00:00:00
231844-1-2-1180570,WA011,310726,WA002,101,3015A-3035A-9999A-9999E,2.00,2025-01-08 00:00:00
