Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,"","",Order,101,120,310086,233538-1-1-105,41800,19,2025-06-27 00:00:00,ID010,3139A
ID002,"","",Order,101,120,310724,233509-1-1-101,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-102,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-103,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-104,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-105,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-106,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-107,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-108,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-109,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-110,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-111,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-112,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-113,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-114,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-115,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-116,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-117,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-118,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-119,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,101,120,310724,233509-1-1-120,41336,14.999909280595118,2025-06-08 00:00:00,ID010,9999E
ID002,"","",Order,102,120,310015,232146-1-6-126,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-6-127,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-6-128,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-6-129,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232146-1-6-130,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-121,41336,14.999909280595118,2025-06-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-122,41336,14.999909280595118,2025-06-11 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-123,41336,14.999909280595118,2025-05-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-6-124,41336,14.999909280595118,2025-05-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-7-125,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-7-126,41336,14.999909280595118,2025-07-14 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-7-127,41336,14.999909280595118,2025-07-21 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,232701-1-7-128,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233089-1-3-113,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-3-114,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-3-115,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-3-116,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233089-1-3-117,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
ID002,"","",Order,102,120,310015,233245-1-1-101,55115,20,2025-06-24 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233245-1-1-102,55115,20,2025-07-01 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233245-1-1-103,55115,20,2025-06-24 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233245-1-1-104,55115,20,2025-06-24 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233245-1-1-105,55115,20,2025-06-24 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233319-1-1-101,826725,300,2025-05-23 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233450-1-1-128,41336,14.999909280595118,2025-06-05 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233450-1-1-139,41336,14.999909280595118,2025-06-05 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233450-1-1-140,41336,14.999909280595118,2025-06-05 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233463-1-1-101,41336,14.999909280595118,2025-06-06 00:00:00,ID002,3117A
ID002,"","",Order,102,120,310015,233479-1-2-101,13779,5.000090719404881,2025-06-08 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233479-1-2-102,13779,5.000090719404881,2025-06-29 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233479-2-1-103,13779,5.000090719404881,2025-07-14 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233497-1-1-101,41336,14.999909280595118,2025-05-31 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-101,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-102,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-103,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-104,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-105,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-106,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-107,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-108,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-109,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-110,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-111,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-112,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-113,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-114,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-115,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-116,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-117,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-118,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-119,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-120,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-121,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-122,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-123,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-124,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233527-1-1-125,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-101,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-102,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-103,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-104,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-105,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-106,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-107,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-108,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-109,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-110,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-111,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-112,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-113,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-114,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-115,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-116,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-117,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-118,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-119,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-120,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-121,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-122,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-123,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-124,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-125,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-126,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-127,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-128,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-129,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-130,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-131,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-132,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-133,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-134,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-135,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-136,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233533-1-1-137,41336,14.999909280595118,2025-06-12 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310086,233091-1-3-105,50600,23,2025-06-28 00:00:00,TX001,9999A
