Period,Site,Product,BOM,"Assignment Policy","Policy Parameter","Unit BOM Cost",Status,Notes
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_120D,BOM_310726_WA002_101_3035A-9999A-9999E_120D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_105D,BOM_310726_WA002_101_3035A-9999A-9999E_105D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_106D,BOM_310726_WA002_101_3035A-9999A-9999E_106D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_104D,BOM_310726_WA002_101_3035A-9999A-9999E_104D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_85D,BOM_310726_WA002_101_9999A-9999E_85D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_86D,BOM_310726_WA002_101_9999A-9999E_86D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_87D,BOM_310726_WA002_101_9999A-9999E_87D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_84D,BOM_310726_WA002_101_9999A-9999E_84D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_83D,BOM_310726_WA002_101_9999A-9999E_83D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_100D,BOM_310726_WA002_101_3035A-9999A-9999E_100D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_101D,BOM_310726_WA002_101_3035A-9999A-9999E_101D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_102D,BOM_310726_WA002_101_3035A-9999A-9999E_102D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_103D,BOM_310726_WA002_101_3035A-9999A-9999E_103D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_69D,BOM_310726_WA002_101_3035A-9999A-9999E_69D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_70D,BOM_310726_WA002_101_3035A-9999A-9999E_70D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_71D,BOM_310726_WA002_101_3035A-9999A-9999E_71D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_72D,BOM_310726_WA002_101_3035A-9999A-9999E_72D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_73D,BOM_310726_WA002_101_3035A-9999A-9999E_73D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_74D,BOM_310726_WA002_101_3035A-9999A-9999E_74D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_75D,BOM_310726_WA002_101_3035A-9999A-9999E_75D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_76D,BOM_310726_WA002_101_3035A-9999A-9999E_76D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_77D,BOM_310726_WA002_101_3035A-9999A-9999E_77D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_78D,BOM_310726_WA002_101_3035A-9999A-9999E_78D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_79D,BOM_310726_WA002_101_3035A-9999A-9999E_79D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_80D,BOM_310726_WA002_101_3035A-9999A-9999E_80D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_81D,BOM_310726_WA002_101_3035A-9999A-9999E_81D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_82D,BOM_310726_WA002_101_3035A-9999A-9999E_82D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_83D,BOM_310726_WA002_101_3035A-9999A-9999E_83D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_84D,BOM_310726_WA002_101_3035A-9999A-9999E_84D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_85D,BOM_310726_WA002_101_3035A-9999A-9999E_85D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_86D,BOM_310726_WA002_101_3035A-9999A-9999E_86D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_87D,BOM_310726_WA002_101_3035A-9999A-9999E_87D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_88D,BOM_310726_WA002_101_3035A-9999A-9999E_88D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_89D,BOM_310726_WA002_101_3035A-9999A-9999E_89D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_90D,BOM_310726_WA002_101_3035A-9999A-9999E_90D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_91D,BOM_310726_WA002_101_3035A-9999A-9999E_91D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_92D,BOM_310726_WA002_101_3035A-9999A-9999E_92D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_93D,BOM_310726_WA002_101_3035A-9999A-9999E_93D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_94D,BOM_310726_WA002_101_3035A-9999A-9999E_94D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_95D,BOM_310726_WA002_101_3035A-9999A-9999E_95D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_96D,BOM_310726_WA002_101_3035A-9999A-9999E_96D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_97D,BOM_310726_WA002_101_3035A-9999A-9999E_97D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_98D,BOM_310726_WA002_101_3035A-9999A-9999E_98D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_3035A-9999A-9999E_99D,BOM_310726_WA002_101_3035A-9999A-9999E_99D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_69D,BOM_310726_WA002_101_9999A-9999E_69D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_70D,BOM_310726_WA002_101_9999A-9999E_70D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_71D,BOM_310726_WA002_101_9999A-9999E_71D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_72D,BOM_310726_WA002_101_9999A-9999E_72D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_73D,BOM_310726_WA002_101_9999A-9999E_73D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_74D,BOM_310726_WA002_101_9999A-9999E_74D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_75D,BOM_310726_WA002_101_9999A-9999E_75D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_76D,BOM_310726_WA002_101_9999A-9999E_76D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_77D,BOM_310726_WA002_101_9999A-9999E_77D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_78D,BOM_310726_WA002_101_9999A-9999E_78D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_79D,BOM_310726_WA002_101_9999A-9999E_79D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_80D,BOM_310726_WA002_101_9999A-9999E_80D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_81D,BOM_310726_WA002_101_9999A-9999E_81D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A-9999E_82D,BOM_310726_WA002_101_9999A-9999E_82D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_100D,BOM_310726_WA002_101_9999A_100D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_101D,BOM_310726_WA002_101_9999A_101D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_102D,BOM_310726_WA002_101_9999A_102D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_103D,BOM_310726_WA002_101_9999A_103D,"","","",include,""
