Site,Product,"Production Policy","Unit Production Cost","Fixed Order Cost","Fixed Order Time",CO2,"Minimum Order Quantity","Production Frequency",Status,Notes
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_39D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_40D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_41D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_42D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_43D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_44D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_45D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_46D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_47D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_48D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_49D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_50D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_51D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_52D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_53D,"","","",1.1,"","","",include,""
