Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
62,55.115,0,310726,1012503601,101,WA002,3035A-9999A-9999E,WA007,300874886
62,110.23,0,310726,1012503602,101,WA002,3035A-9999A-9999E,WA007,300874973
62,110.23,0,310726,1012503603,101,WA002,3035A-9999A-9999E,WA007,300875297
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885534
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885543
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885556
55,2755.75,1,310726,1012504301,101,WA002,9999A-9999C,WA007,300885563
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885565
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885566
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885567
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885568
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885569
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885617
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885618
55,2755.75,1,310726,1012504302,101,WA002,9999A-9999C,WA007,300885619
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885631
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885632
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885633
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885634
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885697
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885698
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885704
55,2755.75,1,310726,1012504303,101,WA002,9999A-9999C,WA007,300885705
55,2755.75,1,310726,1012504304,101,WA002,9999A-9999C,WA007,300885709
55,2755.75,1,310726,1012504304,101,WA002,9999A-9999C,WA007,300885710
55,2755.75,1,310726,1012504304,101,WA002,9999A-9999C,WA007,300885758
55,2755.75,1,310726,1012504304,101,WA002,9999A-9999C,WA007,300885759
55,2755.75,1,310726,1012504304,101,WA002,9999A-9999C,WA007,300885760
55,2755.75,1,310726,1012504304,101,WA002,9999A-9999C,WA007,300885761
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300885963
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300885964
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300885965
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300886118
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300886138
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300886139
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300886150
54,2755.75,1,310726,1012504403,101,WA002,9999A-9999C,WA007,300886153
54,2755.75,1,310726,1012504404,101,WA002,9999A-9999C,WA007,300886155
54,2755.75,1,310726,1012504404,101,WA002,9999A-9999C,WA007,300886177
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886201
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886202
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886204
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886242
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886243
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886244
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886246
54,2755.75,1,310726,1012504405,102,WA002,9999A,WA007,300886247
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886257
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886258
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886259
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886308
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886309
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886310
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886311
54,2755.75,1,310726,1012504406,102,WA002,9999A,WA007,300886312
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886313
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886393
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886394
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886395
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886403
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886404
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886405
54,2755.75,1,310726,1012504407,102,WA002,9999A,WA007,300886455
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886456
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886458
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886459
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886460
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886461
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886484
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886485
54,2755.75,1,310726,1012504408,102,WA002,9999A,WA007,300886486
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886555
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886556
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886557
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886579
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886580
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886581
