Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
59,2026.0,1,310086,1052509437,101,ID002,3140A-9999A,ID002,300957061,
59,2023.0,1,310086,1052509437,101,ID002,3140A-9999A,ID010,300957045,
59,2026.0,1,310086,1052509439,101,ID002,3139A-3140A-9999A,ID010,300957157,
59,2039.0,1,310086,1052509439,101,ID002,3139A-3140A-9999A,ID010,300957158,
59,2025.0,1,310086,1052509439,101,ID002,3139A-3140A-9999A,ID010,300957167,
60,55.115,0,310726,1022509356,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300956330,
64,55.115,0,310726,1022508951,101,WA003,3025S-3033A-9999A-9999E,WA007,300949887,
64,110.23,0,310726,1022508952,101,WA003,3025S-3033A-9999A-9999C-9999CS-9999E,WA007,300949993,
64,55.115,0,310726,1022508954,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300950161,
64,110.23,0,310726,1022508955,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300950329,
64,55.115,0,310726,1022508960,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300950792,
64,55.115,0,310726,1022508960,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300950793,
67,55.115,0,310726,1022508666,101,WA003,3025S-3035A-9999A-9999C-9999CS-9999E,WA007,300947785,
68,2755.75,1,310015,1052508501,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944163,
68,2755.75,1,310015,1052508501,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944164,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944187,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944188,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944189,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944190,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944191,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944192,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944275,
68,2755.75,1,310015,1052508502,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944277,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944278,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944279,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944280,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944281,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944297,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944298,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944299,
68,2755.75,1,310015,1052508503,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944300,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944379,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944380,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944381,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944382,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944383,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944384,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944413,
68,2755.75,1,310015,1052508504,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944414,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944471,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944472,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944473,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944474,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944492,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944493,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944494,
68,2755.75,1,310015,1052508505,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944495,
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944502,
