AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028486,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028487,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028488,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028489,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028490,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028491,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514653,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028492,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028545,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028546,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028547,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
