,LOT_NO,SUBLOT_NO,join_col
121,1002511901,300991772,WA001310002WA0011019999A-9999E8
122,1002511901,300991776,WA001310002WA0011019999A-9999E8
123,1002511902,300991813,WA001310002WA0011019999A-9999E8
124,1002511902,300991840,WA001310002WA0011019999A-9999E8
125,1002511902,300991842,WA001310002WA0011019999A-9999E8
126,1002511902,300991843,WA001310002WA0011019999A-9999E8
127,1002511902,300991844,WA001310002WA0011019999A-9999E8
128,1002511902,300991845,WA001310002WA0011019999A-9999E8
129,1002511902,300991846,WA001310002WA0011019999A-9999E8
130,1002511902,300991847,WA001310002WA0011019999A-9999E8
131,1002511903,300991914,WA001310002WA0011019999A-9999E8
132,1002511903,300991915,WA001310002WA0011019999A-9999E8
133,1002511903,300991916,WA001310002WA0011019999A-9999E8
134,1002511903,300991917,WA001310002WA0011019999A-9999E8
135,1002511903,300991918,WA001310002WA0011019999A-9999E8
136,1002511903,300991919,WA001310002WA0011019999A-9999E8
137,1002511903,300991920,WA001310002WA0011019999A-9999E8
138,1002511903,300991921,WA001310002WA0011019999A-9999E8
139,1002511904,300991927,WA001310002WA0011019999A-9999E8
140,1002511904,300991931,WA001310002WA0011019999A-9999E8
141,1002511904,300991932,WA001310002WA0011019999A-9999E8
142,1002511904,300991933,WA001310002WA0011019999A-9999E8
143,1002511904,300992118,WA001310002WA0011019999A-9999E8
144,1002511904,300992119,WA001310002WA0011019999A-9999E8
145,1002511904,300992120,WA001310002WA0011019999A-9999E8
146,1002511904,300992121,WA001310002WA0011019999A-9999E8
147,1002511905,300992126,WA001310002WA0011019999A-9999E8
148,1002511905,300992127,WA001310002WA0011019999A-9999E8
149,1002511905,300992128,WA001310002WA0011019999A-9999E8
150,1002511905,300992129,WA001310002WA0011019999A-9999E8
151,1002511905,300992408,WA001310002WA0011019999A-9999E8
152,1002511905,300992409,WA001310002WA0011019999A-9999E8
153,1002511905,300992410,WA001310002WA0011019999A-9999E8
154,1002511905,300992411,WA001310002WA0011019999A-9999E8
155,1002503206,300871082,ID012310015WA0011019999A-9999E95
